id,gr1,c1,c2,c3,c4
1,a,28,142,272,372
2,a,32,185,281,306
3,a,21,174,253,391
4,a,92,158,274,380
5,a,6,190,258,305
6,a,63,184,278,332
7,a,18,111,222,316
8,a,86,145,281,311
9,a,83,191,298,306
10,a,65,148,270,313
11,a,71,114,236,354
12,a,58,195,258,336
13,a,66,161,226,395
14,a,10,117,268,398
15,a,66,163,210,300
16,a,54,107,227,385
17,a,62,182,209,307
18,a,54,133,256,389
19,a,37,121,285,308
20,a,66,192,288,397
21,a,36,113,299,353
22,a,43,130,228,395
23,a,40,118,249,325
24,a,7,131,271,353
25,a,12,112,234,311
26,a,6,170,209,329
27,a,64,196,262,303
28,a,96,106,281,300
29,a,28,185,281,385
30,a,6,101,283,378
31,a,2,113,263,359
32,a,52,190,207,322
33,a,6,159,289,300
34,a,33,150,205,303
35,a,97,188,288,388
36,a,62,137,273,307
37,a,4,198,249,361
38,a,3,106,277,353
39,a,54,109,274,363
40,a,58,124,267,343
41,a,87,143,217,304
42,a,86,118,287,308
43,a,49,194,295,399
44,a,81,167,215,393
45,a,71,130,212,318
46,a,92,194,294,329
47,b,69,109,284,373
48,b,43,112,248,315
49,b,90,193,299,363
50,b,88,119,245,368
51,b,77,190,284,324
52,b,68,197,202,348
53,b,97,139,201,395
54,b,0,126,286,355
55,b,70,174,283,364
56,b,19,160,212,339
57,b,67,149,231,377
58,b,5,100,219,331
59,b,62,144,258,348
60,b,80,195,235,329
61,b,76,121,287,362
62,b,39,148,214,394
63,b,16,162,294,343
64,b,37,144,259,399
65,b,42,166,268,315
66,b,89,114,281,354
67,c,81,129,286,327
68,c,9,136,205,355
69,c,40,138,260,323
70,c,33,124,222,308
71,c,17,128,233,344
72,c,53,166,218,382
73,c,48,183,218,322
74,c,68,136,259,309
75,c,47,149,258,333
76,c,9,192,257,358
77,c,20,103,215,355
78,d,56,129,229,350
79,d,26,159,275,320
80,d,68,191,227,336
81,d,54,139,257,336
82,d,61,189,229,380
83,d,80,147,222,359
84,e,67,103,284,332
85,e,87,125,256,340
86,e,53,113,228,373
87,e,12,159,242,337
88,e,59,136,248,383
89,e,96,160,259,301
90,e,43,125,202,363
91,e,23,140,208,345
92,e,72,168,249,321
93,f,32,179,244,378
94,f,48,167,221,305
95,f,78,179,217,306
96,f,42,150,215,362
97,f,69,174,228,319
98,f,25,167,288,371
99,f,45,100,271,351
100,f,13,127,261,316
